Fp1,Fp2,C3,C4,Pz,O1,O2,Fz,Accelerometer X,Accelerometer Y,Accelerometer Z,Gyroscope X,Gyroscope Y,Gyroscope Z,Battery Level,Counter,Validation Indicator,Timestamp,Markers
107083.99219,107008.53125,107373.85156,107320.83594,107362.67188,107426.33594,107372.06250,107502.77344,0.57837,0.69946,0.44800,-1.70898,3.14331,2.22778,73.33334,1318.00000,1.00000,1745566832.17389,0.00000
130200.17188,130117.02344,130478.31250,130430.75000,130477.24219,130546.97656,130473.92969,130616.98438,0.57959,0.69873,0.45215,-1.61743,3.17383,2.31934,73.33334,1860.00000,1.00000,1745566834.33123,0.00000
236857.68750,236735.39062,237083.17188,237051.34375,237126.09375,237222.73438,237068.68750,237253.31250,0.58105,0.69873,0.45020,-1.61743,3.11279,2.31934,73.33334,6671.00000,1.00000,1745566853.53010,0.00000
240198.29688,240075.00000,240422.07812,240391.06250,240466.42188,240564.42188,240407.23438,240594.01562,0.57886,0.69775,0.45044,-1.70898,3.08228,2.25830,73.33334,6672.00000,1.00000,1745566853.53194,0.00000
240801.25000,240678.14062,241024.85938,240994.20312,241069.29688,241167.56250,241009.75000,241196.87500,0.57788,0.69824,0.45288,-1.70898,3.08228,2.31934,73.33334,6673.00000,1.00000,1745566853.54081,0.00000
237845.01562,237722.34375,238070.31250,238039.03125,238113.23438,238210.23438,238055.12500,238240.81250,0.57910,0.69897,0.44946,-1.61743,3.08228,2.25830,73.33334,6674.00000,1.00000,1745566853.54384,0.00000
235450.78125,235328.82812,235677.25000,235644.96875,235718.73438,235815.29688,235662.32812,235846.67188,0.57935,0.69995,0.44873,-1.67847,3.05176,2.22778,73.33334,6675.00000,1.00000,1745566853.54386,0.00000
236911.68750,236789.39062,237137.17188,237105.43750,237179.56250,237276.56250,237122.42188,237307.40625,0.57886,0.69873,0.44946,-1.73950,3.02124,2.28882,73.33334,6676.00000,1.00000,1745566853.55195,0.00000
240258.73438,240135.70312,240482.34375,240451.23438,240526.15625,240624.31250,240467.04688,240653.82812,0.57983,0.69971,0.44775,-1.77002,3.05176,2.22778,73.33334,6677.00000,1.00000,1745566853.55446,0.00000
240893.79688,240770.67188,241117.31250,241086.54688,241161.29688,241259.90625,241102.20312,241289.15625,0.57935,0.69922,0.44922,-1.67847,3.08228,2.31934,73.33334,6678.00000,1.00000,1745566853.55819,0.00000
237952.29688,237829.90625,238176.89062,238146.04688,238220.34375,238317.53125,238162.59375,238347.92188,0.58008,0.70020,0.45044,-1.73950,3.05176,2.34985,73.33334,6679.00000,1.00000,1745566853.56446,0.00000
237056.89062,236934.40625,237282.82812,237251.34375,237325.37500,237422.12500,237267.53125,237452.60938,0.57910,0.70068,0.45044,-1.64795,3.08228,2.16675,73.33334,6691.00000,1.00000,1745566853.61082,0.00000
240420.73438,240297.89062,240645.06250,240614.03125,240689.23438,240786.95312,240629.42188,240816.28125,0.58032,0.70020,0.45117,-1.67847,3.05176,2.28882,73.33334,6692.00000,1.00000,1745566853.61447,0.00000
237318.14062,237195.92188,237543.89062,237512.68750,237586.45312,237683.64062,237528.60938,237713.76562,0.58032,0.69873,0.45068,-1.61743,3.11279,2.25830,73.33334,6716.00000,1.00000,1745566853.71007,0.00000
242077.81250,241954.15625,242300.79688,242270.39062,242345.76562,242443.84375,242285.23438,242472.54688,0.58008,0.69873,0.44800,-1.70898,3.08228,2.31934,73.33334,6743.00000,1.00000,1745566853.81446,0.00000
245521.50000,245396.95312,245742.59375,245711.93750,245789.18750,245888.32812,245726.95312,245916.14062,0.58130,0.70166,0.45190,-1.77002,3.08228,2.25830,73.33334,6958.00000,1.00000,1745566854.68132,0.00000
244269.89062,244145.70312,244491.79688,244461.12500,244537.75000,244636.45312,244476.51562,244664.70312,0.57935,0.70044,0.45312,-1.80054,3.14331,2.28882,73.33334,6959.00000,1.00000,1745566854.68134,0.00000
240869.82812,240746.53125,241093.60938,241062.50000,241138.31250,241235.76562,241078.50000,241264.73438,0.58130,0.70117,0.44971,-1.64795,3.23486,2.19727,73.33334,6960.00000,1.00000,1745566854.68325,0.00000
